Bahan Pangan,Ciri Fisik
Mie instan Varian-111,Rasa pahit tidak wajar (Ciri-111)
Minuman soda Varian-112,Bau kimia menyengat (Ciri-112)
Susu kedelai Varian-113,Bau deterjen (Ciri-113)
Brokoli Varian-114,Tekstur terlalu kenyal (Ciri-114)
Cengkeh Varian-115,Tekstur keras abnormal (Ciri-115)
Minuman soda Varian-116,Warna neon menyilaukan (Ciri-116)
Kangkung Varian-117,Warna neon menyilaukan (Ciri-117)
Blueberry Varian-118,Warna neon menyilaukan (Ciri-118)
Alpukat Varian-119,Warna tidak alami (Ciri-119)
Jambu Varian-120,Tekstur terlalu kenyal (Ciri-120)
Sosis sapi Varian-121,Bau busuk tersembunyi (Ciri-121)
Apel Varian-122,Tidak hancur saat diremas (Ciri-122)
Ikan salmon Varian-123,Tidak hancur saat diremas (Ciri-123)
Lobak Varian-124,Bau busuk tersembunyi (Ciri-124)
Mentimun Varian-125,Bau deterjen (Ciri-125)
Zucchini Varian-126,Tidak hancur saat diremas (Ciri-126)
Asparagus Varian-127,Bau deterjen (Ciri-127)
Susu sapi Varian-128,Warna belang aneh (Ciri-128)
Brokoli Varian-129,Tekstur keras abnormal (Ciri-129)
Daging sapi Varian-130,Tekstur terlalu kenyal (Ciri-130)
Semangka Varian-131,Rasa asam mencolok (Ciri-131)
Kangkung Varian-132,Tidak basi setelah 3 hari (Ciri-132)
Ketumbar Varian-133,Warna belang aneh (Ciri-133)
Pepaya Varian-134,Warna terlalu cerah (Ciri-134)
Jus apel Varian-135,Rasa asin berlebih (Ciri-135)
Nugget ayam Varian-136,Bau busuk tersembunyi (Ciri-136)
Tempe Varian-137,Warna belang aneh (Ciri-137)
Daging kambing Varian-138,Tekstur licin tanpa lendir (Ciri-138)
Belimbing Varian-139,Warna neon menyilaukan (Ciri-139)
Ikan salmon Varian-140,Bau asam aneh (Ciri-140)
Bakso sapi Varian-141,Rasa asin berlebih (Ciri-141)
Kopi susu Varian-142,Tekstur licin tanpa lendir (Ciri-142)
Kopi susu Varian-143,Tidak berlendir setelah lama (Ciri-143)
Air mineral Varian-144,Warna neon menyilaukan (Ciri-144)
Mie instan Varian-145,Tetap segar aneh (Ciri-145)
Ikan patin Varian-146,Rasa asam mencolok (Ciri-146)
Mie basah Varian-147,Rasa asam mencolok (Ciri-147)
Serai Varian-148,Rasa pahit tidak wajar (Ciri-148)
Tahu putih Varian-149,Tidak hancur saat diremas (Ciri-149)
Ikan lele Varian-150,Tekstur terlalu kenyal (Ciri-150)
Melon Varian-151,Bau kimia menyengat (Ciri-151)
Kunyit Varian-152,Tetap segar aneh (Ciri-152)
Nugget ayam Varian-153,Bau busuk tersembunyi (Ciri-153)
Daun jeruk Varian-154,Warna tidak alami (Ciri-154)
Melon Varian-155,Rasa pahit tidak wajar (Ciri-155)
Ikan lele Varian-156,Tekstur keras abnormal (Ciri-156)
Kepiting Varian-157,Tekstur terlalu kenyal (Ciri-157)
Air mineral Varian-158,Rasa getir (Ciri-158)
Pare Varian-159,Tidak basi setelah 3 hari (Ciri-159)
Apel Varian-160,Rasa getir (Ciri-160)
Sosis sapi Varian-161,Tekstur terlalu kenyal (Ciri-161)
Pisang Varian-162,Warna belang aneh (Ciri-162)
Sirsak Varian-163,Warna neon menyilaukan (Ciri-163)
Zucchini Varian-164,Bau kimia menyengat (Ciri-164)
Brokoli Varian-165,Tidak basi setelah 3 hari (Ciri-165)
Susu sapi Varian-166,Tidak basi setelah 3 hari (Ciri-166)
Strawberry Varian-167,Bau busuk tersembunyi (Ciri-167)
Nangka Varian-168,Tekstur keras abnormal (Ciri-168)
Pisang Varian-169,Warna terlalu cerah (Ciri-169)
Ikan tuna Varian-170,Bau busuk tersembunyi (Ciri-170)
Daun bawang Varian-171,Tekstur keras abnormal (Ciri-171)
Jeruk Varian-172,Rasa asam mencolok (Ciri-172)
Kayu manis Varian-173,Tekstur keras abnormal (Ciri-173)
Tomat Varian-174,Tetap segar aneh (Ciri-174)
Minuman soda Varian-175,Rasa getir (Ciri-175)
Bakso ikan Varian-176,Bau deterjen (Ciri-176)
Rambutan Varian-177,Tidak berlendir setelah lama (Ciri-177)
Kubis Varian-178,Tekstur keras abnormal (Ciri-178)
Sirup merah Varian-179,Tetap segar aneh (Ciri-179)
Sosis ayam Varian-180,Warna terlalu cerah (Ciri-180)
Paprika Varian-181,Warna belang aneh (Ciri-181)
Ketumbar Varian-182,Tekstur terlalu kenyal (Ciri-182)
Asparagus Varian-183,Rasa pahit tidak wajar (Ciri-183)
Jahe Varian-184,Rasa getir (Ciri-184)
Lengkuas Varian-185,Tekstur terlalu kenyal (Ciri-185)
Pepaya Varian-186,Tetap segar aneh (Ciri-186)
Kangkung Varian-187,Rasa asin berlebih (Ciri-187)
Daun bawang Varian-188,Tidak berlendir setelah lama (Ciri-188)
Mie instan Varian-189,Warna neon menyilaukan (Ciri-189)
Bayam Varian-190,Tidak hancur saat diremas (Ciri-190)
Pisang Varian-191,Warna neon menyilaukan (Ciri-191)
Jeruk Varian-192,Warna belang aneh (Ciri-192)
Brokoli Varian-193,Warna tidak alami (Ciri-193)
Pepaya Varian-194,Tidak berlendir setelah lama (Ciri-194)
Buncis Varian-195,Tekstur lembek tak wajar (Ciri-195)
Jus jeruk Varian-196,Warna belang aneh (Ciri-196)
Bakso sapi Varian-197,Tidak berlendir setelah lama (Ciri-197)
Kepiting Varian-198,Tidak basi setelah 3 hari (Ciri-198)
Durian Varian-199,Tidak basi setelah 3 hari (Ciri-199)
Jus apel Varian-200,Tekstur lembek tak wajar (Ciri-200)
Rambutan Varian-201,Warna belang aneh (Ciri-201)
Kubis Varian-202,Tekstur keras abnormal (Ciri-202)
Susu kedelai Varian-203,Tetap segar aneh (Ciri-203)
Kunyit Varian-204,Warna belang aneh (Ciri-204)
Air mineral Varian-205,Warna belang aneh (Ciri-205)
Anggur Varian-206,Warna tidak alami (Ciri-206)
Daging ayam Varian-207,Tekstur licin tanpa lendir (Ciri-207)
Sirup merah Varian-208,Rasa asam mencolok (Ciri-208)
Anggur Varian-209,Tekstur lembek tak wajar (Ciri-209)
Asparagus Varian-210,Bau asam aneh (Ciri-210)
Terong Varian-211,Rasa asin berlebih (Ciri-211)
Blueberry Varian-212,Rasa pahit tidak wajar (Ciri-212)
Bakso sapi Varian-213,Rasa getir (Ciri-213)
Kacang panjang Varian-214,Tekstur lembek tak wajar (Ciri-214)
Belimbing Varian-215,Tetap segar aneh (Ciri-215)
Labu siam Varian-216,Tidak berlendir setelah lama (Ciri-216)
Brokoli Varian-217,Rasa pahit tidak wajar (Ciri-217)
Selada Varian-218,Tetap segar aneh (Ciri-218)
Brokoli Varian-219,Rasa getir (Ciri-219)
Blueberry Varian-220,Bau kimia menyengat (Ciri-220)
Seledri Varian-221,Rasa asam mencolok (Ciri-221)
Alpukat Varian-222,Tekstur licin tanpa lendir (Ciri-222)
Asparagus Varian-223,Warna neon menyilaukan (Ciri-223)
Semangka Varian-224,Bau kimia menyengat (Ciri-224)
Bakso sapi Varian-225,Rasa asam mencolok (Ciri-225)
Jambu Varian-226,Bau busuk tersembunyi (Ciri-226)
Air mineral Varian-227,Rasa asin berlebih (Ciri-227)
Jus jeruk Varian-228,Warna belang aneh (Ciri-228)
Rambutan Varian-229,Tekstur terlalu kenyal (Ciri-229)
Susu sapi Varian-230,Rasa asam mencolok (Ciri-230)
Kubis Varian-231,Warna belang aneh (Ciri-231)
Buncis Varian-232,Bau asam aneh (Ciri-232)
Paprika Varian-233,Tekstur terlalu kenyal (Ciri-233)
Apel Varian-234,Rasa asam mencolok (Ciri-234)
Daging sapi Varian-235,Tetap segar aneh (Ciri-235)
Lengkuas Varian-236,Tekstur licin tanpa lendir (Ciri-236)
Nanas Varian-237,Bau kimia menyengat (Ciri-237)
Jeruk Varian-238,Warna neon menyilaukan (Ciri-238)
Jeruk Varian-239,Rasa getir (Ciri-239)
Zucchini Varian-240,Warna neon menyilaukan (Ciri-240)
Mentimun Varian-241,Warna belang aneh (Ciri-241)
Tahu kuning Varian-242,Warna terlalu cerah (Ciri-242)
Seledri Varian-243,Rasa asin berlebih (Ciri-243)
Tahu kuning Varian-244,Bau asam aneh (Ciri-244)
Ikan salmon Varian-245,Warna tidak alami (Ciri-245)
Anggur Varian-246,Rasa asin berlebih (Ciri-246)
Kopi susu Varian-247,Tekstur keras abnormal (Ciri-247)
Sirup merah Varian-248,Tidak berlendir setelah lama (Ciri-248)
Mangga Varian-249,Rasa getir (Ciri-249)
Terong Varian-250,Warna neon menyilaukan (Ciri-250)
Tahu kuning Varian-251,Warna terlalu cerah (Ciri-251)
Selada Varian-252,Tekstur terlalu kenyal (Ciri-252)
Lobak Varian-253,Rasa pahit tidak wajar (Ciri-253)
Ikan patin Varian-254,Warna belang aneh (Ciri-254)
Selada Varian-255,Warna tidak alami (Ciri-255)
Jahe Varian-256,Tekstur keras abnormal (Ciri-256)
Zucchini Varian-257,Tidak hancur saat diremas (Ciri-257)
Kangkung Varian-258,Rasa asin berlebih (Ciri-258)
Semangka Varian-259,Tetap segar aneh (Ciri-259)
Kacang panjang Varian-260,Tidak hancur saat diremas (Ciri-260)
Brokoli Varian-261,Bau kimia menyengat (Ciri-261)
Kepiting Varian-262,Tekstur terlalu kenyal (Ciri-262)
Bayam Varian-263,Tetap segar aneh (Ciri-263)
Daging ayam Varian-264,Warna belang aneh (Ciri-264)
Pepaya Varian-265,Bau deterjen (Ciri-265)
Nugget ayam Varian-266,Tidak berlendir setelah lama (Ciri-266)
Zucchini Varian-267,Tetap segar aneh (Ciri-267)
Mangga Varian-268,Tidak berlendir setelah lama (Ciri-268)
Minuman soda Varian-269,Tekstur keras abnormal (Ciri-269)
Apel Varian-270,Tidak basi setelah 3 hari (Ciri-270)
Lengkuas Varian-271,Bau kimia menyengat (Ciri-271)
Susu sapi Varian-272,Bau asam aneh (Ciri-272)
Daun salam Varian-273,Tekstur lembek tak wajar (Ciri-273)
Ikan patin Varian-274,Warna terlalu cerah (Ciri-274)
Ikan patin Varian-275,Tekstur keras abnormal (Ciri-275)
Susu kedelai Varian-276,Rasa pahit tidak wajar (Ciri-276)
Tomat Varian-277,Rasa pahit tidak wajar (Ciri-277)
Mangga Varian-278,Bau deterjen (Ciri-278)
Kangkung Varian-279,Bau kimia menyengat (Ciri-279)
Buncis Varian-280,Tekstur keras abnormal (Ciri-280)
Zucchini Varian-281,Tidak berlendir setelah lama (Ciri-281)
Kacang panjang Varian-282,Tidak basi setelah 3 hari (Ciri-282)
Susu sapi Varian-283,Warna belang aneh (Ciri-283)
Udang Varian-284,Bau deterjen (Ciri-284)
Pare Varian-285,Bau kimia menyengat (Ciri-285)
Brokoli Varian-286,Bau busuk tersembunyi (Ciri-286)
Daun salam Varian-287,Warna tidak alami (Ciri-287)
Daging sapi Varian-288,Tekstur lembek tak wajar (Ciri-288)
Manggis Varian-289,Rasa getir (Ciri-289)
Tempe Varian-290,Bau asam aneh (Ciri-290)
Bakso ikan Varian-291,Tekstur lembek tak wajar (Ciri-291)
Ikan patin Varian-292,Tekstur keras abnormal (Ciri-292)
Mentimun Varian-293,Bau busuk tersembunyi (Ciri-293)
Lobak Varian-294,Warna neon menyilaukan (Ciri-294)
Brokoli Varian-295,Rasa pahit tidak wajar (Ciri-295)
Air mineral Varian-296,Bau deterjen (Ciri-296)
Buncis Varian-297,Bau deterjen (Ciri-297)
Lengkuas Varian-298,Warna tidak alami (Ciri-298)
Sosis sapi Varian-299,Tidak berlendir setelah lama (Ciri-299)
Air mineral Varian-300,Bau kimia menyengat (Ciri-300)
Pisang Varian-301,Tekstur licin tanpa lendir (Ciri-301)
Mangga Varian-302,Rasa pahit tidak wajar (Ciri-302)
Minuman soda Varian-303,Warna belang aneh (Ciri-303)
Pare Varian-304,Warna tidak alami (Ciri-304)
Anggur Varian-305,Tetap segar aneh (Ciri-305)
Kubis Varian-306,Tekstur lembek tak wajar (Ciri-306)
Zucchini Varian-307,Rasa pahit tidak wajar (Ciri-307)
Ikan patin Varian-308,Tekstur licin tanpa lendir (Ciri-308)
Labu siam Varian-309,Bau asam aneh (Ciri-309)
Labu siam Varian-310,Rasa getir (Ciri-310)
Daun salam Varian-311,Tidak berlendir setelah lama (Ciri-311)
Tahu putih Varian-312,Rasa asin berlebih (Ciri-312)
Ikan tuna Varian-313,Tekstur lembek tak wajar (Ciri-313)
Pepaya Varian-314,Warna tidak alami (Ciri-314)
Ikan lele Varian-315,Bau busuk tersembunyi (Ciri-315)
Brokoli Varian-316,Bau deterjen (Ciri-316)
Strawberry Varian-317,Tekstur licin tanpa lendir (Ciri-317)
Sosis sapi Varian-318,Tekstur licin tanpa lendir (Ciri-318)
Apel Varian-319,Rasa getir (Ciri-319)
Salak Varian-320,Rasa pahit tidak wajar (Ciri-320)
Sirup cocopandan Varian-321,Bau deterjen (Ciri-321)
Ikan salmon Varian-322,Tekstur licin tanpa lendir (Ciri-322)
Daging sapi Varian-323,Tekstur lembek tak wajar (Ciri-323)
Zucchini Varian-324,Rasa getir (Ciri-324)
Daun salam Varian-325,Bau deterjen (Ciri-325)
Nugget ayam Varian-326,Bau busuk tersembunyi (Ciri-326)
Melon Varian-327,Bau asam aneh (Ciri-327)
Daun jeruk Varian-328,Bau asam aneh (Ciri-328)
Ikan tuna Varian-329,Tekstur licin tanpa lendir (Ciri-329)
Ikan lele Varian-330,Bau deterjen (Ciri-330)
Kunyit Varian-331,Warna belang aneh (Ciri-331)
Cengkeh Varian-332,Bau deterjen (Ciri-332)
Kangkung Varian-333,Tidak basi setelah 3 hari (Ciri-333)
Terong Varian-334,Warna terlalu cerah (Ciri-334)
Belimbing Varian-335,Rasa pahit tidak wajar (Ciri-335)
Sawi Varian-336,Warna tidak alami (Ciri-336)
Bakso sapi Varian-337,Tidak hancur saat diremas (Ciri-337)
Ikan tuna Varian-338,Tekstur keras abnormal (Ciri-338)
Jinten Varian-339,Tetap segar aneh (Ciri-339)
Kopi susu Varian-340,Warna neon menyilaukan (Ciri-340)
Tahu kuning Varian-341,Bau deterjen (Ciri-341)
Daging sapi Varian-342,Bau busuk tersembunyi (Ciri-342)
Mangga Varian-343,Rasa asam mencolok (Ciri-343)
Ikan salmon Varian-344,Rasa asin berlebih (Ciri-344)
Nangka Varian-345,Tekstur lembek tak wajar (Ciri-345)
Sirup cocopandan Varian-346,Bau asam aneh (Ciri-346)
Kunyit Varian-347,Bau busuk tersembunyi (Ciri-347)
Bayam Varian-348,Warna terlalu cerah (Ciri-348)
Zucchini Varian-349,Warna neon menyilaukan (Ciri-349)
Kunyit Varian-350,Warna belang aneh (Ciri-350)
Manggis Varian-351,Warna tidak alami (Ciri-351)
Bakso sapi Varian-352,Tekstur terlalu kenyal (Ciri-352)
Jambu Varian-353,Tidak basi setelah 3 hari (Ciri-353)
Jambu Varian-354,Rasa asam mencolok (Ciri-354)
Seledri Varian-355,Tidak hancur saat diremas (Ciri-355)
Nugget ayam Varian-356,Warna terlalu cerah (Ciri-356)
Sirup cocopandan Varian-357,Rasa asam mencolok (Ciri-357)
Kunyit Varian-358,Bau asam aneh (Ciri-358)
Udang Varian-359,Rasa asam mencolok (Ciri-359)
Buncis Varian-360,Rasa asin berlebih (Ciri-360)
Sirsak Varian-361,Warna belang aneh (Ciri-361)
Sosis sapi Varian-362,Rasa getir (Ciri-362)
Mie basah Varian-363,Tekstur terlalu kenyal (Ciri-363)
Teh kemasan Varian-364,Tekstur licin tanpa lendir (Ciri-364)
Jinten Varian-365,Tidak hancur saat diremas (Ciri-365)
Terong Varian-366,Rasa asin berlebih (Ciri-366)
Jus apel Varian-367,Warna neon menyilaukan (Ciri-367)
Jus apel Varian-368,Tetap segar aneh (Ciri-368)
Asparagus Varian-369,Tekstur keras abnormal (Ciri-369)
Tomat Varian-370,Rasa pahit tidak wajar (Ciri-370)
Sirsak Varian-371,Warna neon menyilaukan (Ciri-371)
Jus jeruk Varian-372,Tekstur licin tanpa lendir (Ciri-372)
Kacang panjang Varian-373,Tekstur terlalu kenyal (Ciri-373)
Mangga Varian-374,Bau kimia menyengat (Ciri-374)
Udang Varian-375,Bau asam aneh (Ciri-375)
Ikan lele Varian-376,Rasa pahit tidak wajar (Ciri-376)
Salak Varian-377,Bau kimia menyengat (Ciri-377)
Melon Varian-378,Warna tidak alami (Ciri-378)
Tomat Varian-379,Tidak berlendir setelah lama (Ciri-379)
Kopi susu Varian-380,Tidak basi setelah 3 hari (Ciri-380)
Manggis Varian-381,Tidak basi setelah 3 hari (Ciri-381)
Wortel Varian-382,Tetap segar aneh (Ciri-382)
Lobak Varian-383,Tidak hancur saat diremas (Ciri-383)
Cengkeh Varian-384,Tekstur licin tanpa lendir (Ciri-384)
Jus apel Varian-385,Rasa asin berlebih (Ciri-385)
Semangka Varian-386,Warna belang aneh (Ciri-386)
Kunyit Varian-387,Warna neon menyilaukan (Ciri-387)
Ikan lele Varian-388,Rasa pahit tidak wajar (Ciri-388)
Melon Varian-389,Tekstur keras abnormal (Ciri-389)
Sirup merah Varian-390,Tidak hancur saat diremas (Ciri-390)
Daging sapi Varian-391,Tidak basi setelah 3 hari (Ciri-391)
Teh kemasan Varian-392,Rasa getir (Ciri-392)
Lengkuas Varian-393,Warna belang aneh (Ciri-393)
Daging sapi Varian-394,Bau asam aneh (Ciri-394)
Mangga Varian-395,Rasa asam mencolok (Ciri-395)
Jus apel Varian-396,Warna neon menyilaukan (Ciri-396)
Nanas Varian-397,Tidak hancur saat diremas (Ciri-397)
Daging ayam Varian-398,Warna neon menyilaukan (Ciri-398)
Minuman soda Varian-399,Rasa pahit tidak wajar (Ciri-399)
Pisang Varian-400,Tidak basi setelah 3 hari (Ciri-400)
Teh kemasan Varian-401,Bau asam aneh (Ciri-401)
Pare Varian-402,Rasa asin berlebih (Ciri-402)
Labu siam Varian-403,Warna terlalu cerah (Ciri-403)
Nugget ayam Varian-404,Tekstur keras abnormal (Ciri-404)
Jus apel Varian-405,Bau deterjen (Ciri-405)
Jus apel Varian-406,Rasa pahit tidak wajar (Ciri-406)
Sosis sapi Varian-407,Rasa getir (Ciri-407)
Mie basah Varian-408,Tekstur terlalu kenyal (Ciri-408)
Buncis Varian-409,Warna tidak alami (Ciri-409)
Bakso ikan Varian-410,Warna tidak alami (Ciri-410)
Cengkeh Varian-411,Bau kimia menyengat (Ciri-411)
Zucchini Varian-412,Rasa pahit tidak wajar (Ciri-412)
Ikan lele Varian-413,Tetap segar aneh (Ciri-413)
Ikan salmon Varian-414,Tekstur licin tanpa lendir (Ciri-414)
Mie instan Varian-415,Rasa asam mencolok (Ciri-415)
Mie instan Varian-416,Tidak hancur saat diremas (Ciri-416)
Susu kedelai Varian-417,Bau busuk tersembunyi (Ciri-417)
Seledri Varian-418,Warna neon menyilaukan (Ciri-418)
Ikan salmon Varian-419,Bau busuk tersembunyi (Ciri-419)
Buncis Varian-420,Bau asam aneh (Ciri-420)
Blueberry Varian-421,Rasa getir (Ciri-421)
Teh kemasan Varian-422,Bau asam aneh (Ciri-422)
Blueberry Varian-423,Tekstur terlalu kenyal (Ciri-423)
Pare Varian-424,Tidak hancur saat diremas (Ciri-424)
Bakso sapi Varian-425,Rasa asam mencolok (Ciri-425)
Anggur Varian-426,Bau deterjen (Ciri-426)
Mie instan Varian-427,Tekstur terlalu kenyal (Ciri-427)
Jahe Varian-428,Bau kimia menyengat (Ciri-428)
Ikan tuna Varian-429,Bau deterjen (Ciri-429)
Daun salam Varian-430,Rasa asin berlebih (Ciri-430)
Durian Varian-431,Warna neon menyilaukan (Ciri-431)
Pisang Varian-432,Rasa getir (Ciri-432)
Teh kemasan Varian-433,Tekstur terlalu kenyal (Ciri-433)
Pisang Varian-434,Tidak basi setelah 3 hari (Ciri-434)
Bakso sapi Varian-435,Warna neon menyilaukan (Ciri-435)
Semangka Varian-436,Bau deterjen (Ciri-436)
Bakso sapi Varian-437,Bau kimia menyengat (Ciri-437)
Udang Varian-438,Warna neon menyilaukan (Ciri-438)
Daun salam Varian-439,Tekstur keras abnormal (Ciri-439)
Kepiting Varian-440,Tidak berlendir setelah lama (Ciri-440)
Daun bawang Varian-441,Rasa asin berlebih (Ciri-441)
Selada Varian-442,Warna belang aneh (Ciri-442)
Mentimun Varian-443,Bau kimia menyengat (Ciri-443)
Cumi-cumi Varian-444,Bau asam aneh (Ciri-444)
Rambutan Varian-445,Bau asam aneh (Ciri-445)
Daun jeruk Varian-446,Tekstur keras abnormal (Ciri-446)
Ikan tuna Varian-447,Tekstur keras abnormal (Ciri-447)
Mie instan Varian-448,Tekstur lembek tak wajar (Ciri-448)
Tomat Varian-449,Bau asam aneh (Ciri-449)
Lengkuas Varian-450,Warna belang aneh (Ciri-450)
Bakso ikan Varian-451,Tekstur terlalu kenyal (Ciri-451)
Selada Varian-452,Tekstur terlalu kenyal (Ciri-452)
Anggur Varian-453,Tekstur licin tanpa lendir (Ciri-453)
Ikan patin Varian-454,Tetap segar aneh (Ciri-454)
Cumi-cumi Varian-455,Warna tidak alami (Ciri-455)
